종목코드,종목명,시장구분,시가총액,PER,20D_Avg_Trading_Val,OPM(%),ROA(%),ROE(%),PBR,F_Score,기준보고서,OPM_trend,ROA_trend,ROE_trend,PBR_trend,PER_trend
005930,삼성전자,KOSPI,1502493602256000,11.19,5885882826925.0,36.88,19.84,26.02,2.59,8,2026-08-14,"[2.54, 10.88, 13.07, 36.88]","[3.4, 6.7, 7.97, 19.84]","[4.26, 8.57, 10.36, 26.02]","[1.3, 0.79, 1.65, 2.59]","[30.46, 9.28, 15.94, 9.97]"
000660,SK하이닉스,KOSPI,1207503879345000,7.14,6699280716450.0,68.04,46.47,61.71,4.6,5,2026-08-14,"[-23.59, 35.45, 48.59, 68.04]","[-9.11, 16.52, 24.39, 46.47]","[-17.08, 26.78, 35.59, 61.71]","[1.99, 1.77, 4.06, 4.6]","[6.62, 11.42, 7.45]"
402340,SK스퀘어,KOSPI,135617869944000,4.04,650224429050.0,2484.12,15.04,16.03,2.47,4,2026-08-14,"[-102.78, 237.64, 623.26, 2484.12]","[-7.32, 16.65, 28.91, 15.04]","[-8.31, 18.64, 31.51, 16.03]","[0.45, 0.55, 1.78, 2.47]","[2.93, 5.64, 15.38]"
009150,삼성전기,KOSPI,106139742016000,106.44,1056982808100.0,9.8,0.0,0.0,0.0,3,2026-08-14,"[7.18, 7.14, 8.07, 9.8]","[3.86, 0]",[0],[0],"[26.06, 13.49, 26.73, 102.74]"
005380,현대차,KOSPI,81800727517000,12.95,244554478100.0,5.09,2.63,7.65,0.6,3,2026-08-14,"[9.3, 8.13, 6.16, 5.09]","[4.34, 3.89, 2.81, 2.63]","[12.05, 11.0, 8.12, 7.65]","[0.41, 0.36, 0.48, 0.6]","[3.42, 3.3, 5.89, 7.89]"
207940,삼성바이오로직스,KOSPI,68788353186000,40.96,74061044350.0,45.48,15.68,23.73,8.23,3,2026-08-14,"[30.14, 37.78, 45.41, 45.48]","[5.35, 6.25, 16.13, 15.68]","[8.72, 9.93, 23.95, 23.73]","[5.28, 5.94, 10.55, 8.23]","[60.49, 59.8, 44.06, 34.67]"
032830,삼성생명,KOSPI,62000000000000,20.93,145103253750.0,0.0,0.64,2.01,0.42,3,2026-08-14,[0],"[0.65, 0.72, 0.7, 0.64]","[4.59, 5.93, 3.78, 2.01]","[0.32, 0.51, 0.5, 0.42]","[7.01, 8.65, 13.26, 21.03]"
105560,KB금융,KOSPI,60864415154400,10.86,143361816485.0,0.0,0.73,10.08,0.97,3,2026-08-14,[0],"[0.64, 0.66, 0.73, 0.73]","[7.75, 8.41, 9.6, 10.08]","[0.33, 0.49, 0.73, 0.97]","[4.2, 5.84, 7.57, 9.63]"
028260,삼성물산,KOSPI,60812842875000,22.22,131557000450.0,8.21,2.71,3.91,0.53,4,2026-08-14,"[7.09, 8.08, 8.21]","[4.11, 4.47, 4.51, 2.71]","[6.82, 7.44, 6.79, 3.91]","[0.54, 0.51, 0.69, 0.53]","[7.9, 6.87, 10.17, 13.68]"
012450,한화에어로스페이스,KOSPI,59658854957000,28.18,210588502600.0,0.0,5.69,16.5,2.95,4,2026-08-14,"[7.38, 0]","[5.83, 4.08, 5.69]",[16.5],[2.95],"[6.84, 6.67, 22.52, 17.86]"
